system1Id,documentId,system2Id,system1rank,segmentId,trglang,srcIndex,system2rank,system1Number,srclang,judgeID,system2Number
CAMB,-1,IITB,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,INPUT,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,IPN,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,NTHU,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,RAC,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,SJTU,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,UFC,3,0,-1,0,1,-1,-1,annotator01,-1
CAMB,-1,AMU,3,0,-1,0,4,-1,-1,annotator01,-1
CAMB,-1,CUUI,3,0,-1,0,5,-1,-1,annotator01,-1
CAMB,-1,UMC,3,0,-1,0,3,-1,-1,annotator01,-1
IITB,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
INPUT,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
IPN,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
NTHU,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
RAC,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
SJTU,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
UFC,-1,AMU,1,0,-1,0,4,-1,-1,annotator01,-1
IITB,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
INPUT,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
IPN,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
NTHU,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
RAC,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
SJTU,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
UFC,-1,CUUI,1,0,-1,0,5,-1,-1,annotator01,-1
IITB,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
INPUT,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
IPN,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
NTHU,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
RAC,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
SJTU,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
UFC,-1,UMC,1,0,-1,0,3,-1,-1,annotator01,-1
AMU,-1,CUUI,4,0,-1,0,5,-1,-1,annotator01,-1
AMU,-1,UMC,4,0,-1,0,3,-1,-1,annotator01,-1
CUUI,-1,UMC,5,0,-1,0,3,-1,-1,annotator01,-1
IITB,-1,AMU,5,3,-1,3,4,-1,-1,annotator01,-1
IITB,-1,RAC,5,3,-1,3,4,-1,-1,annotator01,-1
IITB,-1,UMC,5,3,-1,3,5,-1,-1,annotator01,-1
IITB,-1,NTHU,5,3,-1,3,5,-1,-1,annotator01,-1
AMU,-1,RAC,4,3,-1,3,4,-1,-1,annotator01,-1
AMU,-1,UMC,4,3,-1,3,5,-1,-1,annotator01,-1
AMU,-1,NTHU,4,3,-1,3,5,-1,-1,annotator01,-1
RAC,-1,UMC,4,3,-1,3,5,-1,-1,annotator01,-1
RAC,-1,NTHU,4,3,-1,3,5,-1,-1,annotator01,-1
UMC,-1,NTHU,5,3,-1,3,5,-1,-1,annotator01,-1
CAMB,-1,PKU,4,6,-1,6,2,-1,-1,annotator01,-1
CAMB,-1,AMU,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,IITB,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,INPUT,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,IPN,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,POST,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,RAC,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,SJTU,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,UFC,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,UMC,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,CUUI,4,6,-1,6,5,-1,-1,annotator01,-1
CAMB,-1,NTHU,4,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,AMU,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,IITB,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,INPUT,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,IPN,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,POST,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,RAC,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,SJTU,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,UFC,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,UMC,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,CUUI,2,6,-1,6,5,-1,-1,annotator01,-1
PKU,-1,NTHU,2,6,-1,6,5,-1,-1,annotator01,-1
AMU,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
IITB,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
INPUT,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
IPN,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
POST,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
RAC,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
SJTU,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
UFC,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
UMC,-1,CUUI,5,6,-1,6,5,-1,-1,annotator01,-1
AMU,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
IITB,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
INPUT,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
IPN,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
POST,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
RAC,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
SJTU,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
UFC,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
UMC,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
CUUI,-1,NTHU,5,6,-1,6,5,-1,-1,annotator01,-1
AMU,-1,IITB,5,9,-1,9,5,-1,-1,annotator01,-1
AMU,-1,INPUT,5,9,-1,9,5,-1,-1,annotator01,-1
AMU,-1,IPN,5,9,-1,9,5,-1,-1,annotator01,-1
AMU,-1,SJTU,5,9,-1,9,5,-1,-1,annotator01,-1
AMU,-1,UFC,5,9,-1,9,5,-1,-1,annotator01,-1
AMU,-1,RAC,5,9,-1,9,5,-1,-1,annotator01,-1
AMU,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
AMU,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
IITB,-1,RAC,5,9,-1,9,5,-1,-1,annotator01,-1
INPUT,-1,RAC,5,9,-1,9,5,-1,-1,annotator01,-1
IPN,-1,RAC,5,9,-1,9,5,-1,-1,annotator01,-1
SJTU,-1,RAC,5,9,-1,9,5,-1,-1,annotator01,-1
UFC,-1,RAC,5,9,-1,9,5,-1,-1,annotator01,-1
IITB,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
INPUT,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
IPN,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
SJTU,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
UFC,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
IITB,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
INPUT,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
IPN,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
SJTU,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
UFC,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
RAC,-1,UMC,5,9,-1,9,2,-1,-1,annotator01,-1
RAC,-1,CAMB,5,9,-1,9,5,-1,-1,annotator01,-1
UMC,-1,CAMB,2,9,-1,9,5,-1,-1,annotator01,-1
POST,-1,AMU,3,12,-1,12,2,-1,-1,annotator01,-1
POST,-1,CAMB,3,12,-1,12,1,-1,-1,annotator01,-1
