srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system1rank,system2Number,system2Id,system2rank,system3Number,system3Id,system3rank,system4Number,system4Id,system4rank,system5Number,system5Id,system5rank,system6Number,system6Id,system6rank,system7Number,system7Id,system7rank,system8Number,system8Id,system8rank,system9Number,system9Id,system9rank,system10Number,system10Id,system10rank,system11Number,system11Id,system11rank,system12Number,system12Id,system12rank,system13Number,system13Id,system13rank,system14Number,system14Id,system14rank
Complex,simple,1,-1,1,BLEU,-1,POST,12,-1,NTHU,12,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,2,-1,2,BLEU,-1,POST,11,-1,NTHU,13,-1,AMU,3,-1,CUUI,12,-1,IITB,3,-1,IPN,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,1,-1,CAMB,14,-1,SOURCE,3,-1,NUCLEA,1
Complex,simple,3,-1,3,BLEU,-1,POST,1,-1,NTHU,6,-1,AMU,7,-1,CUUI,1,-1,IITB,7,-1,IPN,7,-1,PKU,7,-1,RAC,1,-1,SJTU,7,-1,UFC,7,-1,UMC,7,-1,CAMB,5,-1,SOURCE,7,-1,NUCLEA,1
Complex,simple,4,-1,4,BLEU,-1,POST,11,-1,NTHU,14,-1,AMU,8,-1,CUUI,11,-1,IITB,1,-1,IPN,1,-1,PKU,9,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,5,-1,5,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,8,-1,8,BLEU,-1,POST,10,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,10,-1,IPN,1,-1,PKU,10,-1,RAC,1,-1,SJTU,9,-1,UFC,1,-1,UMC,14,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,9,-1,9,BLEU,-1,POST,2,-1,NTHU,2,-1,AMU,13,-1,CUUI,5,-1,IITB,6,-1,IPN,6,-1,PKU,11,-1,RAC,2,-1,SJTU,6,-1,UFC,6,-1,UMC,12,-1,CAMB,14,-1,SOURCE,6,-1,NUCLEA,1
Complex,simple,10,-1,10,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,12,-1,12,BLEU,-1,POST,12,-1,NTHU,11,-1,AMU,2,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,PKU,4,-1,RAC,14,-1,SJTU,4,-1,UFC,4,-1,UMC,13,-1,CAMB,3,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,13,-1,13,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,14,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,14,-1,14,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,14,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,15,-1,15,BLEU,-1,POST,1,-1,NTHU,10,-1,AMU,14,-1,CUUI,1,-1,IITB,10,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,16,-1,16,BLEU,-1,POST,9,-1,NTHU,10,-1,AMU,2,-1,CUUI,5,-1,IITB,11,-1,IPN,11,-1,PKU,3,-1,RAC,3,-1,SJTU,6,-1,UFC,11,-1,UMC,6,-1,CAMB,6,-1,SOURCE,11,-1,NUCLEA,1
Complex,simple,18,-1,18,BLEU,-1,POST,2,-1,NTHU,2,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,13,-1,PKU,2,-1,RAC,13,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,2,-1,SOURCE,2,-1,NUCLEA,1
Complex,simple,19,-1,19,BLEU,-1,POST,4,-1,NTHU,4,-1,AMU,14,-1,CUUI,4,-1,IITB,4,-1,IPN,4,-1,PKU,2,-1,RAC,2,-1,SJTU,4,-1,UFC,4,-1,UMC,4,-1,CAMB,13,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,20,-1,20,BLEU,-1,POST,2,-1,NTHU,12,-1,AMU,2,-1,CUUI,14,-1,IITB,2,-1,IPN,2,-1,PKU,2,-1,RAC,2,-1,SJTU,10,-1,UFC,2,-1,UMC,10,-1,CAMB,13,-1,SOURCE,2,-1,NUCLEA,1
Complex,simple,21,-1,21,BLEU,-1,POST,14,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,23,-1,23,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,24,-1,24,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,25,-1,25,BLEU,-1,POST,10,-1,NTHU,3,-1,AMU,10,-1,CUUI,10,-1,IITB,3,-1,IPN,3,-1,PKU,10,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,2,-1,CAMB,14,-1,SOURCE,3,-1,NUCLEA,1
Complex,simple,27,-1,27,BLEU,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,28,-1,28,BLEU,-1,POST,9,-1,NTHU,9,-1,AMU,14,-1,CUUI,8,-1,IITB,4,-1,IPN,12,-1,PKU,11,-1,RAC,3,-1,SJTU,4,-1,UFC,4,-1,UMC,13,-1,CAMB,2,-1,SOURCE,4,-1,NUCLEA,1
