srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system1rank,system2Number,system2Id,system2rank,system3Number,system3Id,system3rank,system4Number,system4Id,system4rank,system5Number,system5Id,system5rank,system6Number,system6Id,system6rank,system7Number,system7Id,system7rank,system8Number,system8Id,system8rank,system9Number,system9Id,system9rank,system10Number,system10Id,system10rank,system11Number,system11Id,system11rank,system12Number,system12Id,system12rank,system13Number,system13Id,system13rank,system14Number,system14Id,system14rank
Complex,simple,1,-1,1,USim,-1,POST,12,-1,NTHU,13,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,2,-1,2,USim,-1,POST,9,-1,NTHU,14,-1,AMU,1,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,3,-1,3,USim,-1,POST,9,-1,NTHU,14,-1,AMU,1,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,9
Complex,simple,4,-1,4,USim,-1,POST,9,-1,NTHU,13,-1,AMU,8,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,14,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,5,-1,5,USim,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,8,-1,8,USim,-1,POST,11,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,14,-1,IPN,1,-1,PKU,11,-1,RAC,1,-1,SJTU,9,-1,UFC,1,-1,UMC,13,-1,CAMB,10,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,9,-1,9,USim,-1,POST,1,-1,NTHU,11,-1,AMU,10,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,11,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,10,-1,10,USim,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,12,-1,12,USim,-1,POST,9,-1,NTHU,14,-1,AMU,7,-1,CUUI,1,-1,IITB,1,-1,IPN,6,-1,PKU,11,-1,RAC,13,-1,SJTU,1,-1,UFC,1,-1,UMC,9,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,8
Complex,simple,13,-1,13,USim,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
