srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system1rank,system2Number,system2Id,system2rank,system3Number,system3Id,system3rank,system4Number,system4Id,system4rank,system5Number,system5Id,system5rank,system6Number,system6Id,system6rank,system7Number,system7Id,system7rank,system8Number,system8Id,system8rank,system9Number,system9Id,system9rank,system10Number,system10Id,system10rank,system11Number,system11Id,system11rank,system12Number,system12Id,system12rank,system13Number,system13Id,system13rank,system14Number,system14Id,system14rank
Complex,simple,0,-1,0,combined0.30,-1,POST,14,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,1,-1,1,combined0.30,-1,POST,12,-1,NTHU,13,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,2,-1,2,combined0.30,-1,POST,9,-1,NTHU,14,-1,AMU,1,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,3,-1,3,combined0.30,-1,POST,9,-1,NTHU,14,-1,AMU,1,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,9
Complex,simple,4,-1,4,combined0.30,-1,POST,9,-1,NTHU,13,-1,AMU,8,-1,CUUI,9,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,14,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,5,-1,5,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,6,-1,6,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,7,-1,7,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,8,-1,8,combined0.30,-1,POST,11,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,14,-1,IPN,1,-1,PKU,11,-1,RAC,1,-1,SJTU,10,-1,UFC,1,-1,UMC,13,-1,CAMB,9,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,9,-1,9,combined0.30,-1,POST,1,-1,NTHU,12,-1,AMU,4,-1,CUUI,11,-1,IITB,5,-1,IPN,5,-1,PKU,10,-1,RAC,1,-1,SJTU,5,-1,UFC,5,-1,UMC,13,-1,CAMB,14,-1,SOURCE,5,-1,NUCLEA,3
Complex,simple,10,-1,10,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,11,-1,11,combined0.30,-1,POST,2,-1,NTHU,12,-1,AMU,4,-1,CUUI,12,-1,IITB,4,-1,IPN,4,-1,PKU,3,-1,RAC,1,-1,SJTU,11,-1,UFC,4,-1,UMC,4,-1,CAMB,14,-1,SOURCE,4,-1,NUCLEA,10
Complex,simple,12,-1,12,combined0.30,-1,POST,9,-1,NTHU,14,-1,AMU,7,-1,CUUI,1,-1,IITB,1,-1,IPN,6,-1,PKU,11,-1,RAC,13,-1,SJTU,1,-1,UFC,1,-1,UMC,9,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,8
Complex,simple,13,-1,13,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,14,-1,14,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,13,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,15,-1,15,combined0.30,-1,POST,1,-1,NTHU,9,-1,AMU,13,-1,CUUI,1,-1,IITB,9,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,16,-1,16,combined0.30,-1,POST,8,-1,NTHU,11,-1,AMU,9,-1,CUUI,7,-1,IITB,1,-1,IPN,1,-1,PKU,6,-1,RAC,5,-1,SJTU,11,-1,UFC,1,-1,UMC,11,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,10
Complex,simple,17,-1,17,combined0.30,-1,POST,9,-1,NTHU,8,-1,AMU,1,-1,CUUI,6,-1,IITB,1,-1,IPN,13,-1,PKU,10,-1,RAC,10,-1,SJTU,1,-1,UFC,1,-1,UMC,7,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,18,-1,18,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,PKU,1,-1,RAC,13,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,19,-1,19,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,13,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,10,-1,RAC,10,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,10,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,20,-1,20,combined0.30,-1,POST,3,-1,NTHU,11,-1,AMU,3,-1,CUUI,12,-1,IITB,3,-1,IPN,3,-1,PKU,3,-1,RAC,3,-1,SJTU,1,-1,UFC,3,-1,UMC,1,-1,CAMB,14,-1,SOURCE,3,-1,NUCLEA,13
Complex,simple,21,-1,21,combined0.30,-1,POST,14,-1,NTHU,1,-1,AMU,1,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,22,-1,22,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,13,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,23,-1,23,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,24,-1,24,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,25,-1,25,combined0.30,-1,POST,8,-1,NTHU,1,-1,AMU,8,-1,CUUI,8,-1,IITB,1,-1,IPN,1,-1,PKU,8,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,26,-1,26,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,27,-1,27,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,28,-1,28,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,13,-1,CUUI,14,-1,IITB,1,-1,IPN,1,-1,PKU,9,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,9,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,29,-1,29,combined0.30,-1,POST,10,-1,NTHU,14,-1,AMU,12,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,PKU,9,-1,RAC,1,-1,SJTU,3,-1,UFC,3,-1,UMC,12,-1,CAMB,11,-1,SOURCE,3,-1,NUCLEA,1
Complex,simple,30,-1,30,combined0.30,-1,POST,13,-1,NTHU,10,-1,AMU,8,-1,CUUI,12,-1,IITB,1,-1,IPN,11,-1,PKU,6,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,7,-1,SOURCE,1,-1,NUCLEA,5
Complex,simple,31,-1,31,combined0.30,-1,POST,9,-1,NTHU,14,-1,AMU,11,-1,CUUI,12,-1,IITB,1,-1,IPN,10,-1,PKU,8,-1,RAC,7,-1,SJTU,1,-1,UFC,1,-1,UMC,5,-1,CAMB,6,-1,SOURCE,1,-1,NUCLEA,13
Complex,simple,32,-1,32,combined0.30,-1,POST,9,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,9,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,33,-1,33,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,34,-1,34,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,35,-1,35,combined0.30,-1,POST,3,-1,NTHU,12,-1,AMU,2,-1,CUUI,5,-1,IITB,5,-1,IPN,5,-1,PKU,1,-1,RAC,3,-1,SJTU,5,-1,UFC,5,-1,UMC,14,-1,CAMB,11,-1,SOURCE,5,-1,NUCLEA,13
Complex,simple,36,-1,36,combined0.30,-1,POST,7,-1,NTHU,8,-1,AMU,13,-1,CUUI,10,-1,IITB,3,-1,IPN,1,-1,PKU,12,-1,RAC,2,-1,SJTU,3,-1,UFC,3,-1,UMC,14,-1,CAMB,11,-1,SOURCE,3,-1,NUCLEA,9
Complex,simple,37,-1,37,combined0.30,-1,POST,1,-1,NTHU,14,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,38,-1,38,combined0.30,-1,POST,12,-1,NTHU,14,-1,AMU,9,-1,CUUI,13,-1,IITB,7,-1,IPN,6,-1,PKU,4,-1,RAC,11,-1,SJTU,1,-1,UFC,4,-1,UMC,3,-1,CAMB,9,-1,SOURCE,1,-1,NUCLEA,8
Complex,simple,39,-1,39,combined0.30,-1,POST,2,-1,NTHU,9,-1,AMU,1,-1,CUUI,2,-1,IITB,9,-1,IPN,9,-1,PKU,9,-1,RAC,8,-1,SJTU,7,-1,UFC,9,-1,UMC,4,-1,CAMB,5,-1,SOURCE,9,-1,NUCLEA,6
Complex,simple,40,-1,40,combined0.30,-1,POST,9,-1,NTHU,13,-1,AMU,11,-1,CUUI,12,-1,IITB,1,-1,IPN,1,-1,PKU,14,-1,RAC,10,-1,SJTU,1,-1,UFC,1,-1,UMC,8,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,7
Complex,simple,41,-1,41,combined0.30,-1,POST,8,-1,NTHU,14,-1,AMU,7,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,9,-1,RAC,10,-1,SJTU,1,-1,UFC,1,-1,UMC,12,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,42,-1,42,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,14,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,43,-1,43,combined0.30,-1,POST,10,-1,NTHU,14,-1,AMU,1,-1,CUUI,11,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,44,-1,44,combined0.30,-1,POST,12,-1,NTHU,9,-1,AMU,14,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,10,-1,UFC,1,-1,UMC,11,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,45,-1,45,combined0.30,-1,POST,1,-1,NTHU,13,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,46,-1,46,combined0.30,-1,POST,11,-1,NTHU,6,-1,AMU,8,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,10,-1,RAC,12,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,7,-1,SOURCE,1,-1,NUCLEA,8
Complex,simple,47,-1,47,combined0.30,-1,POST,1,-1,NTHU,11,-1,AMU,11,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,48,-1,48,combined0.30,-1,POST,12,-1,NTHU,1,-1,AMU,13,-1,CUUI,14,-1,IITB,1,-1,IPN,1,-1,PKU,7,-1,RAC,11,-1,SJTU,9,-1,UFC,1,-1,UMC,6,-1,CAMB,10,-1,SOURCE,1,-1,NUCLEA,8
Complex,simple,49,-1,49,combined0.30,-1,POST,12,-1,NTHU,9,-1,AMU,13,-1,CUUI,6,-1,IITB,1,-1,IPN,1,-1,PKU,14,-1,RAC,11,-1,SJTU,1,-1,UFC,1,-1,UMC,6,-1,CAMB,6,-1,SOURCE,1,-1,NUCLEA,10
Complex,simple,50,-1,50,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,51,-1,51,combined0.30,-1,POST,1,-1,NTHU,12,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,10,-1,PKU,14,-1,RAC,1,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,12,-1,SOURCE,3,-1,NUCLEA,11
Complex,simple,52,-1,52,combined0.30,-1,POST,13,-1,NTHU,5,-1,AMU,11,-1,CUUI,14,-1,IITB,9,-1,IPN,5,-1,PKU,5,-1,RAC,5,-1,SJTU,9,-1,UFC,1,-1,UMC,3,-1,CAMB,4,-1,SOURCE,1,-1,NUCLEA,12
Complex,simple,53,-1,53,combined0.30,-1,POST,7,-1,NTHU,13,-1,AMU,8,-1,CUUI,12,-1,IITB,1,-1,IPN,1,-1,PKU,6,-1,RAC,11,-1,SJTU,9,-1,UFC,1,-1,UMC,5,-1,CAMB,10,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,54,-1,54,combined0.30,-1,POST,11,-1,NTHU,4,-1,AMU,10,-1,CUUI,4,-1,IITB,4,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,4,-1,UFC,4,-1,UMC,12,-1,CAMB,12,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,55,-1,55,combined0.30,-1,POST,8,-1,NTHU,1,-1,AMU,7,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,11,-1,SJTU,1,-1,UFC,1,-1,UMC,14,-1,CAMB,9,-1,SOURCE,1,-1,NUCLEA,10
Complex,simple,56,-1,56,combined0.30,-1,POST,11,-1,NTHU,10,-1,AMU,9,-1,CUUI,12,-1,IITB,4,-1,IPN,1,-1,PKU,1,-1,RAC,14,-1,SJTU,4,-1,UFC,4,-1,UMC,8,-1,CAMB,12,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,57,-1,57,combined0.30,-1,POST,11,-1,NTHU,3,-1,AMU,14,-1,CUUI,8,-1,IITB,1,-1,IPN,3,-1,PKU,2,-1,RAC,3,-1,SJTU,10,-1,UFC,3,-1,UMC,12,-1,CAMB,13,-1,SOURCE,3,-1,NUCLEA,9
Complex,simple,58,-1,58,combined0.30,-1,POST,11,-1,NTHU,1,-1,AMU,13,-1,CUUI,14,-1,IITB,2,-1,IPN,2,-1,PKU,9,-1,RAC,9,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,12,-1,SOURCE,2,-1,NUCLEA,8
Complex,simple,59,-1,59,combined0.30,-1,POST,6,-1,NTHU,14,-1,AMU,10,-1,CUUI,11,-1,IITB,1,-1,IPN,12,-1,PKU,7,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,8,-1,SOURCE,1,-1,NUCLEA,9
Complex,simple,60,-1,60,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,61,-1,61,combined0.30,-1,POST,14,-1,NTHU,12,-1,AMU,1,-1,CUUI,13,-1,IITB,1,-1,IPN,11,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,62,-1,62,combined0.30,-1,POST,13,-1,NTHU,1,-1,AMU,12,-1,CUUI,10,-1,IITB,1,-1,IPN,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,11,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,63,-1,63,combined0.30,-1,POST,8,-1,NTHU,7,-1,AMU,13,-1,CUUI,6,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,10,-1,SJTU,1,-1,UFC,1,-1,UMC,9,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,11
Complex,simple,64,-1,64,combined0.30,-1,POST,14,-1,NTHU,9,-1,AMU,1,-1,CUUI,10,-1,IITB,5,-1,IPN,3,-1,PKU,3,-1,RAC,1,-1,SJTU,5,-1,UFC,5,-1,UMC,12,-1,CAMB,13,-1,SOURCE,5,-1,NUCLEA,11
Complex,simple,65,-1,65,combined0.30,-1,POST,6,-1,NTHU,10,-1,AMU,7,-1,CUUI,11,-1,IITB,3,-1,IPN,3,-1,PKU,1,-1,RAC,12,-1,SJTU,13,-1,UFC,1,-1,UMC,13,-1,CAMB,9,-1,SOURCE,3,-1,NUCLEA,8
Complex,simple,66,-1,66,combined0.30,-1,POST,14,-1,NTHU,12,-1,AMU,2,-1,CUUI,9,-1,IITB,2,-1,IPN,13,-1,PKU,1,-1,RAC,11,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,10,-1,SOURCE,2,-1,NUCLEA,8
Complex,simple,67,-1,67,combined0.30,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,68,-1,68,combined0.30,-1,POST,9,-1,NTHU,1,-1,AMU,1,-1,CUUI,13,-1,IITB,1,-1,IPN,1,-1,PKU,12,-1,RAC,9,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,69,-1,69,combined0.30,-1,POST,13,-1,NTHU,1,-1,AMU,1,-1,CUUI,8,-1,IITB,1,-1,IPN,1,-1,PKU,8,-1,RAC,1,-1,SJTU,8,-1,UFC,1,-1,UMC,12,-1,CAMB,11,-1,SOURCE,1,-1,NUCLEA,14
Complex,simple,70,-1,70,combined0.30,-1,POST,11,-1,NTHU,1,-1,AMU,2,-1,CUUI,13,-1,IITB,3,-1,IPN,10,-1,PKU,11,-1,RAC,3,-1,SJTU,14,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,SOURCE,3,-1,NUCLEA,3
