,srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1id,system1rank,system2Number,system2id,system2rank,system3Number,system3id,system3rank,system4Number,system4id,system4rank,system5Number,system5id,system5rank,system6Number,system6id,system6rank,system7Number,system7id,system7rank,system8Number,system8id,system8rank,system9Number,system9id,system9rank,system10Number,system10id,system10rank,system11Number,system11id,system11rank,system12Number,system12id,system12rank,system13Number,system13id,system13rank,system14Number,system14id,system14rank
0,Complex,simple,62.0,-1,62.0,combined0.45,-1,POST,14,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
1,Complex,simple,1155.0,-1,1155.0,combined0.45,-1,POST,13,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,NTHU,11,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,11,-1,NUCLEA,1
2,Complex,simple,1262.0,-1,1262.0,combined0.45,-1,POST,11,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,10,-1,NTHU,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,NUCLEA,12
3,Complex,simple,1287.0,-1,1287.0,combined0.45,-1,POST,4,-1,JMGR,4,-1,AMU,1,-1,CUUI,4,-1,IITB,1,-1,IPN,4,-1,NTHU,4,-1,PKU,4,-1,RAC,4,-1,SJTU,1,-1,UFC,4,-1,UMC,4,-1,CAMB,4,-1,NUCLEA,4
4,Complex,simple,13.0,-1,13.0,combined0.45,-1,POST,6,-1,JMGR,6,-1,AMU,5,-1,CUUI,6,-1,IITB,1,-1,IPN,4,-1,NTHU,6,-1,PKU,6,-1,RAC,6,-1,SJTU,1,-1,UFC,6,-1,UMC,1,-1,CAMB,6,-1,NUCLEA,6
5,Complex,simple,1005.0,-1,1005.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,12,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,12,-1,UMC,12,-1,CAMB,1,-1,NUCLEA,1
6,Complex,simple,162.0,-1,162.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,NUCLEA,1
7,Complex,simple,373.0,-1,373.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
8,Complex,simple,1051.0,-1,1051.0,combined0.45,-1,POST,13,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,12,-1,NUCLEA,1
9,Complex,simple,740.0,-1,740.0,combined0.45,-1,POST,3,-1,JMGR,3,-1,AMU,3,-1,CUUI,3,-1,IITB,1,-1,IPN,3,-1,NTHU,3,-1,PKU,14,-1,RAC,3,-1,SJTU,1,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,NUCLEA,3
10,Complex,simple,60.0,-1,60.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
11,Complex,simple,1.0,-1,1.0,combined0.45,-1,POST,14,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,12,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,12,-1,NUCLEA,1
12,Complex,simple,490.0,-1,490.0,combined0.45,-1,POST,13,-1,JMGR,7,-1,AMU,13,-1,CUUI,1,-1,IITB,1,-1,IPN,7,-1,NTHU,1,-1,PKU,7,-1,RAC,7,-1,SJTU,1,-1,UFC,7,-1,UMC,6,-1,CAMB,5,-1,NUCLEA,7
13,Complex,simple,610.0,-1,610.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,14,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,13,-1,CAMB,1,-1,NUCLEA,1
14,Complex,simple,267.0,-1,267.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
15,Complex,simple,14.0,-1,14.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,14,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
16,Complex,simple,544.0,-1,544.0,combined0.45,-1,POST,13,-1,JMGR,10,-1,AMU,9,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,5,-1,PKU,10,-1,RAC,5,-1,SJTU,1,-1,UFC,5,-1,UMC,5,-1,CAMB,10,-1,NUCLEA,14
17,Complex,simple,1122.0,-1,1122.0,combined0.45,-1,POST,6,-1,JMGR,1,-1,AMU,6,-1,CUUI,6,-1,IITB,1,-1,IPN,4,-1,NTHU,14,-1,PKU,12,-1,RAC,4,-1,SJTU,1,-1,UFC,6,-1,UMC,6,-1,CAMB,13,-1,NUCLEA,6
18,Complex,simple,431.0,-1,431.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,13,-1,NTHU,12,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,14
19,Complex,simple,262.0,-1,262.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,13,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,14
20,Complex,simple,575.0,-1,575.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,11,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,10,-1,SJTU,13,-1,UFC,1,-1,UMC,13,-1,CAMB,12,-1,NUCLEA,1
21,Complex,simple,1228.0,-1,1228.0,combined0.45,-1,POST,8,-1,JMGR,7,-1,AMU,8,-1,CUUI,8,-1,IITB,1,-1,IPN,8,-1,NTHU,1,-1,PKU,8,-1,RAC,1,-1,SJTU,1,-1,UFC,8,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,8
22,Complex,simple,331.0,-1,331.0,combined0.45,-1,POST,2,-1,JMGR,11,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,2,-1,NTHU,1,-1,PKU,13,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,13,-1,NUCLEA,11
23,Complex,simple,660.0,-1,660.0,combined0.45,-1,POST,3,-1,JMGR,1,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,1,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,NUCLEA,3
24,Complex,simple,550.0,-1,550.0,combined0.45,-1,POST,1,-1,JMGR,7,-1,AMU,7,-1,CUUI,1,-1,IITB,1,-1,IPN,5,-1,NTHU,7,-1,PKU,13,-1,RAC,1,-1,SJTU,5,-1,UFC,13,-1,UMC,7,-1,CAMB,7,-1,NUCLEA,7
25,Complex,simple,962.0,-1,962.0,combined0.45,-1,POST,3,-1,JMGR,7,-1,AMU,7,-1,CUUI,3,-1,IITB,1,-1,IPN,7,-1,NTHU,6,-1,PKU,3,-1,RAC,7,-1,SJTU,1,-1,UFC,7,-1,UMC,7,-1,CAMB,7,-1,NUCLEA,7
26,Complex,simple,816.0,-1,816.0,combined0.45,-1,POST,1,-1,JMGR,13,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,NUCLEA,1
27,Complex,simple,1160.0,-1,1160.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,14,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
28,Complex,simple,415.0,-1,415.0,combined0.45,-1,POST,4,-1,JMGR,5,-1,AMU,12,-1,CUUI,3,-1,IITB,1,-1,IPN,9,-1,NTHU,5,-1,PKU,14,-1,RAC,9,-1,SJTU,1,-1,UFC,9,-1,UMC,5,-1,CAMB,12,-1,NUCLEA,5
29,Complex,simple,611.0,-1,611.0,combined0.45,-1,POST,6,-1,JMGR,4,-1,AMU,4,-1,CUUI,6,-1,IITB,1,-1,IPN,1,-1,NTHU,13,-1,PKU,13,-1,RAC,6,-1,SJTU,1,-1,UFC,6,-1,UMC,12,-1,CAMB,11,-1,NUCLEA,6
30,Complex,simple,1285.0,-1,1285.0,combined0.45,-1,POST,3,-1,JMGR,3,-1,AMU,3,-1,CUUI,3,-1,IITB,1,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,1,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,NUCLEA,14
31,Complex,simple,557.0,-1,557.0,combined0.45,-1,POST,8,-1,JMGR,11,-1,AMU,11,-1,CUUI,10,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,11,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,7,-1,CAMB,9,-1,NUCLEA,14
32,Complex,simple,1252.0,-1,1252.0,combined0.45,-1,POST,3,-1,JMGR,1,-1,AMU,1,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,13,-1,NUCLEA,14
33,Complex,simple,530.0,-1,530.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,NUCLEA,1
34,Complex,simple,5.0,-1,5.0,combined0.45,-1,POST,1,-1,JMGR,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,NTHU,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,NUCLEA,1
35,Complex,simple,432.0,-1,432.0,combined0.45,-1,POST,3,-1,JMGR,3,-1,AMU,3,-1,CUUI,3,-1,IITB,1,-1,IPN,3,-1,NTHU,3,-1,PKU,3,-1,RAC,3,-1,SJTU,1,-1,UFC,3,-1,UMC,3,-1,CAMB,14,-1,NUCLEA,3
36,Complex,simple,959.0,-1,959.0,combined0.45,-1,POST,5,-1,JMGR,5,-1,AMU,5,-1,CUUI,5,-1,IITB,1,-1,IPN,5,-1,NTHU,5,-1,PKU,5,-1,RAC,3,-1,SJTU,1,-1,UFC,5,-1,UMC,5,-1,CAMB,14,-1,NUCLEA,4
37,Complex,simple,1059.0,-1,1059.0,combined0.45,-1,POST,2,-1,JMGR,13,-1,AMU,2,-1,CUUI,2,-1,IITB,2,-1,IPN,12,-1,NTHU,2,-1,PKU,2,-1,RAC,2,-1,SJTU,2,-1,UFC,2,-1,UMC,2,-1,CAMB,13,-1,NUCLEA,1
