srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system1rank,system2Number,system2Id,system2rank,system3Number,system3Id,system3rank,system4Number,system4Id,system4rank,system5Number,system5Id,system5rank,system6Number,system6Id,system6rank,system7Number,system7Id,system7rank,system8Number,system8Id,system8rank,system9Number,system9Id,system9rank,system10Number,system10Id,system10rank,system11Number,system11Id,system11rank,system12Number,system12Id,system12rank,system13Number,system13Id,system13rank,system14Number,system14Id,system14rank
Complex,simple,1,-1,1,sari,-1,POST,12,-1,NTHU,12,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,12,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,2,-1,2,sari,-1,POST,12,-1,NTHU,3,-1,AMU,4,-1,CUUI,14,-1,IITB,4,-1,IPN,4,-1,PKU,4,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,1,-1,CAMB,13,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,3,-1,3,sari,-1,POST,1,-1,NTHU,6,-1,AMU,7,-1,CUUI,1,-1,IITB,7,-1,IPN,7,-1,PKU,7,-1,RAC,1,-1,SJTU,7,-1,UFC,7,-1,UMC,7,-1,CAMB,5,-1,SOURCE,7,-1,NUCLEA,1
Complex,simple,4,-1,4,sari,-1,POST,12,-1,NTHU,14,-1,AMU,1,-1,CUUI,12,-1,IITB,3,-1,IPN,3,-1,PKU,10,-1,RAC,2,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,11,-1,SOURCE,3,-1,NUCLEA,3
Complex,simple,5,-1,5,sari,-1,POST,4,-1,NTHU,4,-1,AMU,4,-1,CUUI,4,-1,IITB,4,-1,IPN,3,-1,PKU,4,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,1,-1,CAMB,2,-1,SOURCE,4,-1,NUCLEA,4
Complex,simple,8,-1,8,sari,-1,POST,12,-1,NTHU,2,-1,AMU,2,-1,CUUI,2,-1,IITB,11,-1,IPN,2,-1,PKU,12,-1,RAC,2,-1,SJTU,10,-1,UFC,2,-1,UMC,14,-1,CAMB,1,-1,SOURCE,2,-1,NUCLEA,2
Complex,simple,9,-1,9,sari,-1,POST,4,-1,NTHU,3,-1,AMU,8,-1,CUUI,6,-1,IITB,10,-1,IPN,10,-1,PKU,2,-1,RAC,4,-1,SJTU,10,-1,UFC,10,-1,UMC,7,-1,CAMB,9,-1,SOURCE,10,-1,NUCLEA,1
Complex,simple,10,-1,10,sari,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,14,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,12,-1,12,sari,-1,POST,8,-1,NTHU,9,-1,AMU,2,-1,CUUI,10,-1,IITB,10,-1,IPN,3,-1,PKU,6,-1,RAC,5,-1,SJTU,10,-1,UFC,10,-1,UMC,7,-1,CAMB,4,-1,SOURCE,10,-1,NUCLEA,1
Complex,simple,13,-1,13,sari,-1,POST,3,-1,NTHU,3,-1,AMU,2,-1,CUUI,3,-1,IITB,3,-1,IPN,1,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,14,-1,CAMB,3,-1,SOURCE,3,-1,NUCLEA,3
Complex,simple,14,-1,14,sari,-1,POST,3,-1,NTHU,3,-1,AMU,2,-1,CUUI,3,-1,IITB,3,-1,IPN,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,SOURCE,3,-1,NUCLEA,1
Complex,simple,15,-1,15,sari,-1,POST,4,-1,NTHU,13,-1,AMU,1,-1,CUUI,4,-1,IITB,13,-1,IPN,4,-1,PKU,4,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,2,-1,CAMB,12,-1,SOURCE,4,-1,NUCLEA,3
Complex,simple,16,-1,16,sari,-1,POST,10,-1,NTHU,8,-1,AMU,9,-1,CUUI,4,-1,IITB,11,-1,IPN,11,-1,PKU,3,-1,RAC,2,-1,SJTU,5,-1,UFC,11,-1,UMC,5,-1,CAMB,5,-1,SOURCE,11,-1,NUCLEA,1
Complex,simple,18,-1,18,sari,-1,POST,4,-1,NTHU,4,-1,AMU,4,-1,CUUI,4,-1,IITB,4,-1,IPN,2,-1,PKU,4,-1,RAC,2,-1,SJTU,4,-1,UFC,4,-1,UMC,4,-1,CAMB,4,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,19,-1,19,sari,-1,POST,6,-1,NTHU,6,-1,AMU,5,-1,CUUI,6,-1,IITB,6,-1,IPN,6,-1,PKU,1,-1,RAC,1,-1,SJTU,6,-1,UFC,6,-1,UMC,6,-1,CAMB,4,-1,SOURCE,6,-1,NUCLEA,3
Complex,simple,20,-1,20,sari,-1,POST,7,-1,NTHU,4,-1,AMU,7,-1,CUUI,2,-1,IITB,7,-1,IPN,7,-1,PKU,7,-1,RAC,7,-1,SJTU,5,-1,UFC,7,-1,UMC,5,-1,CAMB,3,-1,SOURCE,7,-1,NUCLEA,1
Complex,simple,21,-1,21,sari,-1,POST,2,-1,NTHU,3,-1,AMU,3,-1,CUUI,1,-1,IITB,3,-1,IPN,3,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,SOURCE,3,-1,NUCLEA,3
Complex,simple,23,-1,23,sari,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,24,-1,24,sari,-1,POST,5,-1,NTHU,5,-1,AMU,5,-1,CUUI,5,-1,IITB,5,-1,IPN,5,-1,PKU,1,-1,RAC,5,-1,SJTU,5,-1,UFC,5,-1,UMC,4,-1,CAMB,1,-1,SOURCE,5,-1,NUCLEA,1
Complex,simple,25,-1,25,sari,-1,POST,11,-1,NTHU,4,-1,AMU,11,-1,CUUI,11,-1,IITB,4,-1,IPN,4,-1,PKU,11,-1,RAC,4,-1,SJTU,4,-1,UFC,4,-1,UMC,2,-1,CAMB,3,-1,SOURCE,4,-1,NUCLEA,1
Complex,simple,27,-1,27,sari,-1,POST,3,-1,NTHU,3,-1,AMU,3,-1,CUUI,3,-1,IITB,3,-1,IPN,2,-1,PKU,3,-1,RAC,3,-1,SJTU,3,-1,UFC,3,-1,UMC,3,-1,CAMB,3,-1,SOURCE,3,-1,NUCLEA,1
Complex,simple,28,-1,28,sari,-1,POST,3,-1,NTHU,3,-1,AMU,8,-1,CUUI,6,-1,IITB,11,-1,IPN,10,-1,PKU,7,-1,RAC,5,-1,SJTU,11,-1,UFC,11,-1,UMC,9,-1,CAMB,2,-1,SOURCE,11,-1,NUCLEA,1
Complex,simple,29,-1,29,sari,-1,POST,4,-1,NTHU,8,-1,AMU,5,-1,CUUI,9,-1,IITB,9,-1,IPN,9,-1,PKU,3,-1,RAC,1,-1,SJTU,9,-1,UFC,9,-1,UMC,5,-1,CAMB,7,-1,SOURCE,9,-1,NUCLEA,1
Complex,simple,30,-1,30,sari,-1,POST,9,-1,NTHU,3,-1,AMU,5,-1,CUUI,8,-1,IITB,11,-1,IPN,10,-1,PKU,2,-1,RAC,6,-1,SJTU,11,-1,UFC,11,-1,UMC,4,-1,CAMB,7,-1,SOURCE,11,-1,NUCLEA,1
Complex,simple,32,-1,32,sari,-1,POST,3,-1,NTHU,7,-1,AMU,7,-1,CUUI,7,-1,IITB,7,-1,IPN,7,-1,PKU,3,-1,RAC,3,-1,SJTU,7,-1,UFC,7,-1,UMC,1,-1,CAMB,1,-1,SOURCE,7,-1,NUCLEA,6
Complex,simple,33,-1,33,sari,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,14,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,13,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,34,-1,34,sari,-1,POST,1,-1,NTHU,1,-1,AMU,1,-1,CUUI,1,-1,IITB,1,-1,IPN,1,-1,PKU,1,-1,RAC,1,-1,SJTU,1,-1,UFC,1,-1,UMC,1,-1,CAMB,1,-1,SOURCE,1,-1,NUCLEA,1
Complex,simple,36,-1,36,sari,-1,POST,5,-1,NTHU,8,-1,AMU,4,-1,CUUI,6,-1,IITB,11,-1,IPN,10,-1,PKU,7,-1,RAC,9,-1,SJTU,11,-1,UFC,11,-1,UMC,3,-1,CAMB,1,-1,SOURCE,11,-1,NUCLEA,2
Complex,simple,38,-1,38,sari,-1,POST,10,-1,NTHU,11,-1,AMU,3,-1,CUUI,9,-1,IITB,12,-1,IPN,6,-1,PKU,1,-1,RAC,8,-1,SJTU,13,-1,UFC,1,-1,UMC,5,-1,CAMB,3,-1,SOURCE,13,-1,NUCLEA,6
