,,pku,,,,iitb,,,,ufc,,,,fce auto,,,,gold,,,,sjtu,,,,fce,,,,RoRo,,,,amu,,,,ipn,,,,cuui,,,,rac,,,,camb,,,,umc,,,,nthu,,,,post,,,,AMU,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,0.9999999999999999,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,4,1,0.9998257839721255,,1,0,1.0,original order,0,0,1.0,original order,4,1,0.9998257839721255,,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,3,1,0.945054945054945,original order,1,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,4,3,0.9634387351778656,original order,0,0,1.0,original order,0,0,1.0,original order,3,4,0.9604743083003953,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,2,0,1.0,original order,1,0,1.0,original order
0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,4,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,3,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,1,1,0.9995073891625613,original order,1,1,0.9995073891625613,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order
0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,2,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,2,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order
0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order
0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,1,0.9984962406015038,original order,1,0,1.0,original order,0,0,1.0,original order,0,1,0.9984962406015038,original order,1,0,1.0,original order,2,2,0.9842105263157893,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,2,1,0.9979360165118679,original order,2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,2,0.9842105263157893,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,1,0.9988706945228685,,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,1,1,0.7523219814241485,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,1,0,0.9999999999999999,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order
0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,2,2,0.9521367521367521,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,0,0,1.0,original order,3,1,0.9192307692307692,original order,2,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,1,0.9653846153846154,original order,1,0,1.0,original order,0,0,1.0,original order,2,1,0.9653846153846154,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,0.9999999999999999,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order
0,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,2,2,0.6,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,2,2,0.6,original order,0,0,0.9999999999999999,original order,3,2,0.9965217391304346,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,1,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,3,2,0.9965217391304346,original order
1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,4,0,0.9999999999999998,original order,1,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,4,3,0.9915461624026695,original order,0,0,1.0,original order,3,0,1.0,original order,2,0,1.0,original order,2,0,1.0,original order,1,0,1.0,original order,2,0,1.0,original order,3,0,0.9999999999999998,original order,4,3,0.9915461624026695,original order
1,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,3,0,0.9999999999999999,original order,3,5,0.9822860962566846,sentence splitted,0,0,0.9999999999999999,original order,4,1,0.8181818181818182,original order,2,0,1.0,original order,0,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,2,1,0.9817391304347826,original order,1,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,2,0,1.0,original order,2,2,0.8063241106719368,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order
0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,4,2,0.9507389162561575,original order,2,0,1.0,original order,0,0,0.9999999999999999,original order,4,2,0.9507389162561575,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,,0,0,0.9999999999999999,original order,0,0,1.0,original order,1,0,1.0,,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order
0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,1.0,original order,1,0,1.0,original order,1,0,0.9999999999999999,,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,7,3,0.976209677419355,original order,0,0,0.9999999999999998,original order,0,0,1.0,original order,7,1,0.9995967741935484,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,1,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,3,0,1.0,original order,0,0,1.0,original order
1,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,3,2,0.9929812834224601,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,3,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,,3,0,0.9999999999999999,original order,0,0,1.0,original order,2,0,1.0,,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,3,0.9169719169719169,original order,0,1,0.8285714285714287,original order,0,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,1.0,original order
0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,3,1,0.9256965944272446,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,3,1,0.9256965944272446,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order,1,0,1.0,original order,1,0,0.9999999999999998,original order,0,0,1.0,original order,0,0,0.9999999999999998,original order,0,0,0.9999999999999998,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,,1,0,1.0,original order,0,0,1.0,original order,3,0,1.0,,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,4,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,0.9999999999999999,original order,0,0,1.0,original order,1,0,0.9999999999999999,original order,0,0,1.0,original order,0,0,1.0,original order
2,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,3,1,0.9930069930069931,original order,0,0,1.0,original order,0,0,0.9999999999999999,original order,3,0,1.0,original order,2,0,0.9999999999999999,original order,5,2,0.967179487179487,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,1,0,1.0,original order,4,1,0.8823076923076922,original order,2,0,1.0,original order,1,0,0.9999999999999999,original order,5,2,0.967179487179487,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,4,3,0.8855380820228184,sentence concatenated,3,0,0.9999999999999999,sentence concatenated,0,0,1.0,original order,4,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,2,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,0,1,0.9179487179487179,original order,0,0,1.0,original order,3,0,1.0,original order,1,0,1.0,original order,1,0,1.0,original order,1,0,1.0,original order,1,1,0.9636363636363634,original order,3,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,1,0,1.0,original order,2,0,1.0,original order,4,1,0.9995469646632437,original order,1,0,1.0,original order
1,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,0,0,0.9999999999999999,original order,3,3,0.9158974358974358,original order,6,0,1.0,,0,0,0.9999999999999999,original order,3,3,0.9158974358974358,original order,0,0,1.0,original order,1,0,0.9999999999999999,original order,1,0,0.9999999999999999,original order,1,0,1.0,original order,0,0,0.9999999999999999,original order,2,0,1.0,original order,1,0,0.9999999999999999,original order,0,0,1.0,original order,1,0,1.0,original order,1,0,0.9999999999999999,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,0.9999999999999999,original order,2,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,3,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order,4,1,0.8035714285714284,original order,0,0,1.0,original order,1,0,1.0,original order,0,0,1.0,original order,0,0,1.0,original order
