,,4refs,,,,2refs,,,,8refs,,,,5refs,,,,3refs,,,,1refs,,,,gold,,,,7refs,,,,6refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
2,1,0.9873949579831932,ORDERED with align,2,1,0.9873949579831932,ORDERED with align,2,1,0.9873949579831932,ORDERED with align,2,1,0.9873949579831932,ORDERED with align,2,1,0.9873949579831932,ORDERED with align,2,3,0.8411764705882353,ORDERED with align,14,8,0.5965909090909092,ORDERED with align,2,1,0.9873949579831932,ORDERED with align,2,1,0.9873949579831932,ORDERED with align
6,1,0.9913043478260868,ORDERED with align,6,1,0.9913043478260868,ORDERED with align,6,1,0.9913043478260868,ORDERED with align,6,1,0.9913043478260868,ORDERED with align,4,1,0.994782608695652,ORDERED with align,6,1,0.9913043478260868,ORDERED with align,1,0,1.0,ORDERED with align,6,1,0.9913043478260868,ORDERED with align,6,3,0.9043478260869565,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,5,0,0.9999999999999998,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,1,0.8714285714285712,ORDERED with align,2,1,0.7642857142857141,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,1,0.7323529411764707,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,1,0.9892857142857142,ORDERED with align
3,0,0.9999999999999998,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,3,4,0.6758893280632412,ORDERED with align,3,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align
2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,1,0.8090909090909091,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,3,1,0.8090909090909091,ORDERED with align,3,1,0.8090909090909091,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,1,0.9958974358974357,ORDERED with align,3,1,0.9548717948717947,ORDERED with align,3,1,0.9958974358974357,ORDERED with align,3,1,0.9958974358974357,ORDERED with align,2,1,0.9958974358974357,ORDERED with align,2,1,0.9979487179487179,ORDERED with align,5,2,0.9797482211275315,ORDERED with align,3,1,0.9958974358974357,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
4,2,0.9938884644766998,ORDERED with align,4,2,0.9938884644766998,ORDERED with align,3,1,0.9419404125286478,ORDERED with align,4,2,0.9938884644766998,ORDERED with align,3,1,0.9873949579831932,ORDERED with align,4,2,0.9938884644766998,ORDERED with align,4,4,0.42857142857142855,ORDERED with align,4,2,0.9938884644766998,ORDERED with align,4,2,0.9943977591036416,ORDERED with align
4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,1,0.9285714285714287,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,2,0.8872549019607844,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,4,2,0.4666666666666666,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,1,0.9300699300699302,ORDERED with align,3,0,1.0,ORDERED with align,15,6,0.7420948616600791,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,3,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,3,1,0.75,ORDERED with align,3,1,0.75,ORDERED with align,3,1,0.75,ORDERED with align,3,1,0.75,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9964285714285712,ORDERED with align,3,1,0.75,ORDERED with align,3,1,0.75,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,2,0.9458646616541352,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
3,1,0.9930069930069931,ORDERED with align,3,0,1.0,ORDERED with align,3,1,0.9930069930069931,ORDERED with align,5,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,3,1,0.9991596638655462,ORDERED with align,3,1,0.9930069930069931,ORDERED with align,3,1,0.9930069930069931,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,1,0.9945054945054945,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,7,2,0.985294117647059,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,7,5,0.42786561264822137,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
3,2,0.9943534726143423,ORDERED with align,4,1,0.9966120835686054,ORDERED with align,3,1,0.9987012987012988,ORDERED with align,3,2,0.9943534726143423,ORDERED with align,3,1,0.9987012987012988,ORDERED with align,4,2,0.9948051948051948,ORDERED with align,2,1,0.967032967032967,ORDERED with align,3,2,0.9943534726143423,ORDERED with align,3,1,0.9987012987012988,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,1,0.94,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,1,0.9785714285714284,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
