,,gold,,,,3refs,,,,8refs,,,,7refs,,,,4refs,,,,1refs,,,,2refs,,,,6refs,,,,5refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
19,1,0.985294117647059,ORDERED with align,32,3,0.006993006993006993,ORDERED with align,32,3,0.006993006993006993,ORDERED with align,32,3,0.006993006993006993,ORDERED with align,32,4,0.2833333333333333,ORDERED with align,32,3,0.006993006993006993,ORDERED with align,32,3,0.006993006993006993,ORDERED with align,32,3,0.006993006993006993,ORDERED with align,32,3,0.006993006993006993,ORDERED with align
1,0,1.0,ORDERED with align,5,1,0.956043956043956,ORDERED with align,17,6,0.6395604395604396,ORDERED with align,5,1,0.956043956043956,ORDERED with align,13,5,0.2657342657342658,ORDERED with align,5,1,0.956043956043956,ORDERED with align,5,1,0.956043956043956,ORDERED with align,12,9,0.7352941176470589,ORDERED with align,5,1,0.956043956043956,ORDERED with align
16,6,0.9233766233766234,ORDERED with align,25,7,0.10714285714285714,ORDERED with align,25,6,-0.0979020979020979,ORDERED with align,25,7,0.10714285714285714,ORDERED with align,25,6,-0.0979020979020979,ORDERED with align,24,10,0.509090909090909,ORDERED with align,24,10,0.509090909090909,ORDERED with align,25,6,-0.0979020979020979,ORDERED with align,25,7,0.10714285714285714,ORDERED with align
6,1,0.9790209790209792,ORDERED with align,11,2,0.7619047619047621,ORDERED with align,15,5,-0.1328671328671329,ORDERED with align,11,2,0.7619047619047621,ORDERED with align,15,5,-0.1328671328671329,ORDERED with align,11,2,0.7619047619047621,ORDERED with align,11,2,0.7619047619047621,ORDERED with align,19,5,0.0979020979020979,ORDERED with align,19,5,0.0979020979020979,ORDERED with align
5,2,0.9582156973461323,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,21,4,0.7575757575757575,ORDERED with align,21,8,0.2321428571428571,ORDERED with align,21,8,0.2321428571428571,ORDERED with align,20,3,0.7166666666666667,ORDERED with align,20,3,0.7166666666666667,ORDERED with align
9,0,1.0,ORDERED with align,9,0,1.0,ORDERED with align,26,6,0.1398601398601399,ORDERED with align,9,0,1.0,ORDERED with align,28,1,-0.5,ORDERED with align,27,6,0.03636363636363637,ORDERED with align,31,13,0.3815628815628816,ORDERED with align,9,0,1.0,ORDERED with align,9,0,1.0,ORDERED with align
17,2,0.9909090909090909,ORDERED with align,33,4,0.30000000000000004,ORDERED with align,33,4,0.30000000000000004,ORDERED with align,36,1,0.5,ORDERED with align,33,6,-0.22424242424242422,ORDERED with align,34,4,0.03636363636363637,ORDERED with align,0,0,1.0,ORDERED with align,33,4,0.30000000000000004,ORDERED with align,33,6,-0.22424242424242422,ORDERED with align
5,5,0.5964285714285712,ORDERED with align,14,5,0.12087912087912088,ORDERED with align,14,4,0.35,ORDERED with align,14,5,0.12087912087912088,ORDERED with align,18,6,-0.32417582417582413,ORDERED with align,14,5,0.3939393939393939,ORDERED with align,18,6,-0.32417582417582413,ORDERED with align,14,1,0.39999999999999997,ORDERED with align,14,1,0.39999999999999997,ORDERED with align
1,0,0.9999999999999998,ORDERED with align,16,3,0.7902097902097903,ORDERED with align,25,3,-0.8999999999999998,ORDERED with align,25,7,0.3636363636363637,ORDERED with align,25,2,0.2571428571428572,ORDERED with align,23,9,0.6078431372549019,ORDERED with align,24,5,0.3090909090909091,ORDERED with align,31,9,0.6756521739130433,ORDERED with align,25,7,0.3636363636363637,ORDERED with align
