frequency	# of variants
0.0002	7.93410559517e-05
0.00021	7.80213828372e-05
0.0002205	7.68561184396e-05
0.000231525	7.58542060643e-05
0.00024310125	7.50256743757e-05
0.0002552563125	7.43834310043e-05
0.000268019128125	7.39423421952e-05
0.000281420084531	7.37214206254e-05
0.000295491088758	7.37439922676e-05
0.000310265643196	7.4039371199e-05
0.000325778925355	7.46448369435e-05
0.000342067871623	7.56074294528e-05
0.000359171265204	7.69885978649e-05
0.000377129828465	7.88677897255e-05
0.000395986319888	8.13508724188e-05
0.000415785635882	8.4580503709e-05
0.000436574917676	8.87526763425e-05
0.00045840366356	9.4143469305e-05
0.000481323846738	0.00010115207109
0.000505390039075	0.000110379083186
0.000530659541029	0.000122761364344
0.00055719251808	0.000139846773705
0.000585052143984	0.000164363993555
0.000614304751184	0.000201558018551
0.000645019988743	0.000262594962341
0.00067727098818	0.000374310011098
0.000711134537589	0.000609046999371
0.000746691264468	0.0011676277784
0.000784025827692	0.00220597906023
0.000823227119076	413.720115269
0.00086438847503	762.859572203
0.000907607898782	0.00113029351375
0.000952988293721	0.00101288966464
0.00100063770841	0.000375177408421
0.00105066959383	0.000181603950934
0.00110320307352	9.73522311176e-05
0.00115836322719	5.77914038279e-05
0.00121628138855	4.05953423664e-05
0.00127709545798	3.03688876518e-05
0.00134095023088	2.23036760722e-05
0.00140799774242	1.64795146253e-05
0.00147839762955	1.24577840549e-05
0.00155231751102	9.56307502787e-06
0.00162993338657	7.4032802242e-06
0.0017114300559	5.7726339266e-06
0.0017970015587	4.53767412297e-06
0.00188685163663	3.59860109887e-06
0.00198119421847	2.87943157208e-06
0.00208025392939	2.32348564422e-06
0.00218426662586	1.88924844666e-06
0.00229347995715	1.54655719164e-06
0.00240815395501	1.27348148522e-06
0.00252856165276	1.053964198e-06
0.0026549897354	8.76127090232e-07
0.00278773922217	7.31075874363e-07
0.00292712618327	6.12066546347e-07
0.00307348249244	5.13922446377e-07
0.00322715661706	4.32624373558e-07
0.00338851444791	3.65018713409e-07
0.00355794017031	3.08607763845e-07
0.00373583717882	2.61396386186e-07
0.00392262903777	2.21779155865e-07
0.00411876048965	1.88455570803e-07
0.00432469851414	1.60366089995e-07
0.00454093343984	1.36643006532e-07
0.00476798011184	1.16572504755e-07
0.00500637911743	9.95650005554e-08
0.0052566980733	8.51317532625e-08
0.00551953297696	7.2866342766e-08
0.00579550962581	6.24298187561e-08
0.0060852851071	5.35387765183e-08
0.00638954936246	4.59557009725e-08
0.00670902683058	3.94811209511e-08
0.00704447817211	3.39471900344e-08
0.00739670208072	2.92124319517e-08
0.00776653718475	2.51574079801e-08
0.00815486404399	2.16811382302e-08
0.00856260724619	1.86981361815e-08
0.0089907376085	1.61359439089e-08
0.00944027448892	1.39330768712e-08
0.00991228821337	1.20373082844e-08
0.010407902624	1.04042320756e-08
0.0109282977552	8.99605708322e-09
0.011474712643	7.78059385492e-09
0.0120484482752	6.73040182496e-09
0.0126508706889	5.82206951929e-09
0.0132834142234	5.03560774713e-09
0.0139475849345	4.35393585594e-09
0.0146449641812	3.76244755124e-09
0.0153772123903	3.24864283834e-09
0.0161460730098	2.80181618341e-09
0.0169533766603	2.41279191562e-09
0.0178010454933	2.07369970206e-09
0.018691097768	1.77778376011e-09
0.0196256526564	1.51924087913e-09
0.0206069352892	1.2930826733e-09
0.0216372820537	1.09501861219e-09
0.0227191461564	9.21356758856e-10
0.0238551034642	7.68919829511e-10
0.0250478586374	6.34974707274e-10
0.0263002515693	5.17174037231e-10
0.0276152641477	4.13508814605e-10
0.0289960273551	3.22270404868e-10
0.0304458287229	2.42017976545e-10
0.031968120159	1.7154077662e-10
0.033566526167	1.09794105806e-10
0.0352448524753	5.57861987833e-11
0.0370070950991	8.43855035453e-12
0.038857449854	-3.34504295515e-11
0.0408003223467	-7.09920180262e-11
